Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016569~covalent chromatin modification	41	7.142857142857142	5.620167870440257E-18	217127, 110147, 18676, 15161, 14056, 21849, 17283, 228536, 75560, 109151, 116848, 225131, 11569, 54650, 20591, 234135, 107823, 68094, 192195, 14312, 104416, 67382, 235626, 101867, 20588, 20586, 214162, 17692, 20185, 18140, 22289, 22589, 193796, 54169, 78656, 20184, 13433, 237339, 108829, 107932, 30951	520	266	18082	5.35975997686524	1.2392470154320768E-14	3.0967124966125817E-15	3.0658015733251603E-15
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	82	14.285714285714285	1.0130080480550818E-15	17762, 20410, 72333, 16475, 270058, 13043, 22352, 225523, 244329, 11789, 74270, 56699, 27360, 13605, 360013, 230872, 24131, 17929, 17925, 83397, 269152, 13800, 16319, 20742, 93742, 65970, 244895, 237222, 26401, 227937, 225115, 243725, 226251, 78798, 11519, 11518, 225288, 16800, 104027, 16765, 107932, 14026, 101994, 233335, 68760, 108989, 76816, 16328, 52906, 26936, 19249, 23947, 68732, 68617, 245877, 12933, 12934, 75991, 329165, 13829, 76568, 228140, 545389, 234214, 381979, 19647, 233765, 13427, 109620, 20649, 20648, 99100, 117198, 11735, 194401, 77521, 212514, 105732, 17755, 11733, 17118, 218977	545	1113	19662	2.6579687925022877	4.89608353859694E-13	1.2409348588674751E-13	1.0940486918994884E-13
GOTERM_CC_DIRECT	GO:0005730~nucleolus	65	11.32404181184669	2.0561540491465815E-13	110147, 70998, 68750, 217588, 50709, 66656, 270058, 217980, 664883, 381280, 116848, 56215, 80288, 329540, 11906, 216848, 320595, 101867, 22404, 20742, 22129, 20586, 21399, 66661, 108673, 16201, 72344, 20384, 20020, 12361, 72462, 243529, 74164, 74042, 245474, 18029, 67154, 225280, 69131, 18432, 19687, 17345, 18676, 66356, 56273, 21849, 21408, 12812, 19647, 70925, 228061, 29819, 67134, 74108, 21453, 69714, 72567, 19014, 67897, 20402, 56200, 22184, 12144, 225182, 216877	545	842	19662	2.7850465253110768	1.007505190386837E-10	2.0150309681636497E-11	1.7765170984626465E-11
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	28	4.878048780487805	1.8549424415745325E-11	68750, 14013, 67302, 17260, 20658, 75560, 56215, 230753, 225131, 225432, 110809, 83396, 75956, 69562, 68988, 72567, 20384, 74203, 67996, 20383, 331401, 56469, 229700, 20382, 233871, 51796, 234366, 69131	545	205	19662	4.927599015439696	9.089198282907773E-9	1.5148696606192017E-9	1.3355585579336634E-9
GOTERM_CC_DIRECT	GO:0005694~chromosome	36	6.2717770034843205	3.483560915999388E-11	223828, 71988, 17345, 110147, 70998, 18676, 240087, 50709, 14056, 381280, 228536, 27223, 57321, 228140, 234135, 245000, 107823, 192195, 17688, 19647, 16319, 235626, 17350, 21750, 19134, 226747, 22589, 229584, 117599, 665775, 101994, 56702, 225182, 108989, 170472, 269582	545	344	19662	3.775506720716877	1.7069433533301037E-8	2.4384926411995716E-9	2.149854736731051E-9
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	38	6.620209059233449	7.849428686040436E-11	15361, 26936, 21961, 20410, 19248, 240087, 380928, 72333, 16475, 20130, 208177, 13043, 22352, 118449, 29806, 13649, 83397, 234214, 13800, 66395, 216963, 65970, 67299, 244895, 67533, 12361, 209039, 20649, 225115, 227720, 12549, 54126, 11518, 68481, 16800, 14026, 17118, 50768	545	391	19662	3.5062108449283187	3.8462217077928074E-8	4.585640541241135E-9	4.042850436359532E-9
GOTERM_CC_DIRECT	GO:0030054~cell junction	54	9.40766550522648	8.422605075749024E-11	20410, 72333, 16475, 270058, 13043, 69847, 26558, 11789, 13605, 56376, 58234, 192195, 13800, 66860, 93742, 21872, 244895, 234353, 26401, 227937, 225115, 54126, 16800, 104027, 52864, 13498, 233335, 67154, 76816, 50768, 52906, 216831, 14270, 19248, 68178, 70497, 29806, 12695, 234214, 381979, 233765, 105782, 17356, 109620, 209039, 20649, 20648, 59079, 11735, 14924, 12549, 239217, 17755, 84095	545	718	19662	2.713316807646112	4.1270773687429596E-8	4.585640541241135E-9	4.042850436359532E-9
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	70	12.195121951219512	9.453476247063202E-10	110147, 209361, 70998, 19386, 71643, 16475, 229603, 116848, 74270, 12914, 228880, 56376, 24131, 58234, 11906, 14897, 17925, 216848, 57908, 192195, 231600, 320595, 22129, 268448, 65970, 21399, 214162, 16882, 26401, 22288, 18140, 74164, 74042, 56469, 226251, 54169, 233532, 213109, 107932, 18432, 68379, 217127, 21401, 104360, 18676, 23947, 380928, 207165, 21849, 319713, 22696, 21769, 74132, 83925, 29806, 223770, 20591, 234135, 107823, 19647, 232679, 21411, 217333, 19377, 68703, 194401, 193796, 195018, 56045, 13433	518	1075	17446	2.1930861093651792	5.275038096330675E-7	1.0550079491722533E-7	9.585824914522087E-8
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	32	5.574912891986063	1.154224948162554E-9	26936, 15161, 66656, 380928, 234023, 208177, 13043, 67804, 11789, 13649, 329165, 56376, 227331, 228140, 66395, 20742, 110611, 93742, 105782, 17356, 65970, 68585, 21872, 67134, 67533, 208643, 29810, 243529, 13859, 11518, 233871, 111173	545	316	19662	3.6533735919173154	5.655700598961033E-7	5.655702245996515E-8	4.9862517760622335E-8
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	46	8.013937282229964	1.4019527728205993E-9	18432, 19687, 15361, 68750, 14056, 12395, 64453, 21386, 14013, 21385, 56273, 21849, 17283, 21847, 83925, 29806, 228536, 21888, 54650, 83396, 13345, 20591, 234135, 68094, 12953, 268448, 17257, 20586, 16201, 72567, 20185, 71375, 208146, 21417, 20602, 56381, 54169, 20184, 13433, 17978, 234366, 233532, 17937, 53975, 18986, 18029	520	579	18082	2.7626278729905676	3.09130109532596E-6	6.179807822593202E-7	6.118121900589095E-7
GOTERM_CC_DIRECT	GO:0030018~Z disc	20	3.484320557491289	1.4143169622757912E-9	68016, 59091, 30948, 72333, 100041194, 74376, 118449, 29810, 22138, 11735, 57339, 24131, 56376, 225288, 59006, 104027, 234214, 233335, 68760, 11733	545	124	19662	5.818881325836046	6.930150887596298E-7	6.300139195592161E-8	5.554408433664926E-8
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	27	4.70383275261324	2.968390401802058E-9	17762, 14270, 20616, 26558, 27360, 68070, 56376, 58234, 13829, 234214, 20742, 66860, 109624, 68585, 20662, 18483, 234353, 227937, 243725, 226251, 11519, 11518, 16800, 17978, 104027, 15979, 17755	545	239	19662	4.075651606464244	1.454510251353014E-6	1.212092747402507E-7	1.0686205446487409E-7
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	45	7.8397212543554	3.701272790970017E-9	19687, 15361, 21423, 67788, 21386, 14013, 207165, 21849, 17260, 17283, 22278, 70472, 74132, 21406, 83946, 20677, 223701, 230753, 225131, 12914, 11906, 20807, 83396, 68094, 320595, 20588, 224829, 17257, 20586, 21399, 17258, 16201, 214162, 19014, 19377, 71375, 74042, 56381, 56501, 56469, 22282, 54169, 12144, 233532, 13557	520	576	18082	2.7166466346153846	8.16127333225225E-6	1.3596008718829863E-6	1.3460295383160963E-6
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	35	6.097560975609756	5.900083474005772E-8	67788, 240087, 235134, 22594, 17283, 55982, 11789, 225131, 27223, 59026, 52679, 14897, 245000, 17688, 381979, 19647, 70925, 17350, 69714, 16882, 72584, 18140, 11909, 22589, 229543, 117599, 665775, 20184, 12144, 52864, 225182, 225280, 50505, 170472, 269582	520	420	18082	2.8977564102564104	1.3008838228578679E-4	1.857683425244103E-5	1.8391403057543708E-5
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	28	4.878048780487805	7.284029543052322E-8	26936, 15161, 66656, 234023, 208177, 13043, 67804, 13649, 56376, 227331, 228140, 66395, 20742, 110611, 105782, 17356, 65970, 68585, 21872, 67134, 67533, 208643, 29810, 243529, 13859, 11518, 233871, 111173	518	279	17446	3.3800251864768	4.064406035586554E-5	6.637003881267742E-6	6.0303959996464965E-6
GOTERM_MF_DIRECT	GO:0035064~methylated histone binding	12	2.0905923344947737	9.227821630859785E-8	18676, 12593, 27223, 17692, 75796, 18140, 17688, 30951, 320595, 74042, 22589, 101867	518	47	17446	8.599030641583832	5.148992141434938E-5	6.637003881267742E-6	6.0303959996464965E-6
GOTERM_MF_DIRECT	GO:0003779~actin binding	31	5.400696864111499	9.515417750921494E-8	26936, 21961, 72333, 319713, 118449, 223701, 27360, 230872, 56376, 58234, 13829, 59006, 17925, 13800, 20742, 65970, 109624, 22288, 20649, 225115, 20648, 194401, 226251, 11519, 11518, 225288, 104027, 14026, 68760, 17755, 17118	518	338	17446	3.088951588951589	5.3094624022587134E-5	6.637003881267742E-6	6.0303959996464965E-6
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	25	4.355400696864112	1.2872391143094342E-7	20658, 109095, 66618, 233208, 56215, 230753, 110809, 75956, 69562, 216766, 19656, 53609, 68988, 20462, 20384, 67996, 20383, 19134, 331401, 22184, 20382, 51796, 53975, 170791, 69131	520	241	18082	3.6071656559208427	2.8379596525140993E-4	3.546343759922491E-5	3.510944684278982E-5
GOTERM_BP_DIRECT	GO:0006281~DNA repair	29	5.052264808362369	1.5892706067327333E-7	19687, 67788, 240087, 235134, 22594, 21849, 55982, 27223, 59026, 14897, 245000, 17688, 100710, 17350, 69714, 16882, 72584, 18140, 22589, 229543, 665775, 20184, 12144, 52864, 225182, 225280, 50505, 170472, 269582	520	318	18082	3.171129656507015	3.503728016288621E-4	3.8919471302654934E-5	3.853098293212027E-5
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	29	5.052264808362369	2.0576871615943066E-7	74213, 20658, 109095, 66618, 233208, 56215, 230753, 225432, 110809, 75956, 19647, 69562, 216766, 19656, 53609, 68988, 20462, 20384, 67996, 20383, 67897, 19134, 331401, 22184, 20382, 51796, 53975, 170791, 69131	520	322	18082	3.1317367415193504	4.5361715046776663E-4	4.535142504153852E-5	4.4898733865987764E-5
GOTERM_CC_DIRECT	GO:0030027~lamellipodium	19	3.3101045296167246	7.090765364241381E-7	105782, 19249, 14270, 72333, 16475, 13043, 68732, 67804, 319713, 243725, 11789, 12549, 329165, 226251, 54126, 17925, 234214, 14026, 13800	545	164	19662	4.179659879167599	3.473872730713756E-4	2.6726730988294436E-5	2.356315874886367E-5
GOTERM_MF_DIRECT	GO:0003714~transcription corepressor activity	19	3.3101045296167246	9.771272998223317E-7	18432, 20586, 12395, 12593, 16475, 20185, 56273, 21849, 22761, 270110, 29806, 20602, 21888, 56381, 11569, 56469, 52679, 272359, 13498	518	157	17446	4.075867496249662	5.450886848545888E-4	6.0581892588984565E-5	5.5044837889991355E-5
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	57	9.930313588850174	1.1126985513903908E-6	21423, 14013, 70470, 68837, 17283, 22278, 70472, 83946, 223701, 80288, 230753, 12914, 13649, 20807, 83396, 192195, 20588, 20586, 224903, 21399, 17258, 214162, 12361, 22761, 11909, 56501, 22282, 226251, 54169, 16800, 17978, 18986, 18029, 52906, 68016, 15361, 18032, 18034, 319713, 17260, 21406, 20677, 27223, 52679, 20324, 21411, 19656, 238330, 19377, 19014, 228607, 27632, 21417, 14082, 207259, 22589, 78656	520	995	18082	1.992025512176266	0.002450494295672012	2.2294432793312923E-4	2.2071893083034844E-4
GOTERM_CC_DIRECT	GO:0031965~nuclear membrane	22	3.8327526132404177	1.3779318984964086E-6	68510, 29819, 69714, 19386, 226747, 59079, 74132, 238161, 74042, 98386, 54563, 16906, 11789, 56501, 16905, 13649, 545389, 231861, 67154, 108989, 320595, 232679	545	226	19662	3.5119266055045872	6.749592079171585E-4	4.82276164473743E-5	4.2519041439317754E-5
